Dead / Alive , Head Injury Level,Made By,Model,Year,Chest,Left Leg,Right Leg,Driver or Paseanger,Protection,Power/Watt,Size of Car
Alive,503,Dodge,Shadow,91,42,1234,647,Driver,d airbag,2730,comp
Alive,457,Dodge,Shadow,91,39,739,781,Passenger,d airbag,2730,comp
Alive,511,Chrysler,New Yorker,91,55,710,959,Driver,d airbag,3310,med
,,Chrysler,New Yorker,91,,1133,794,Passenger,d airbag,3310,med
Deceased,1826,Chevrolet,S10 Blazer 4X4,91,51,1909,515,Passenger,manual belts,3820,mpv
Alive,1101,Chevrolet,Caprice,91,48,1527,626,Passenger,d airbag,3990,hev
Alive,1026,Chevrolet,S10 Blazer 4X4,91,71,2626,593,Driver,manual belts,3820,mpv
Alive,956,Chevrolet,Corsica,91,44,1377,424,Passenger,d airbag,2830,comp
Deceased,739,Chevrolet,Beretta,91,35,910,230,Passenger,d airbag,2671,comp
Alive,585,Chevrolet,Camaro,91,39,717,150,Driver,d airbag,3191,med
Alive,583,Chevrolet,Camaro,91,42,627,174,Passenger,d airbag,3191,med
Alive,533,Chevrolet,Caprice,91,54,1529,613,Driver,d airbag,3990,hev
Alive,493,Chevrolet,Corsica,91,41,1171,550,Driver,d airbag,2830,comp
Alive,343,Chevrolet,Beretta,91,37,659,523,Driver,d airbag,2671,comp
,1144,Buick,Century,91,40,1014,179,Passenger,passive belts,2992,comp
Alive,815,Buick,Century,91,47,1340,315,Driver,passive belts,2992,comp
